City ID,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
151,lavrentiya,64,RU,1531530890,87,65.58,-170.99,47.13,10.25
152,huarmey,0,PE,1531530890,72,-10.07,-78.15,62.88,3.2
153,mossendjo,0,CG,1531530890,94,-2.95,12.72,67.11,3.42
154,scottsbluff,1,US,1531529580,48,41.87,-103.67,84.2,11.41
155,sayyan,44,YE,1531530891,69,15.17,44.32,55.41,2.64
156,talnakh,32,RU,1531530891,60,69.49,88.39,48.93,3.65
157,nanortalik,0,GL,1531530891,95,60.14,-45.24,37.5,2.19
158,new norfolk,40,AU,1531530000,81,-42.78,147.06,46.4,10.29
159,howard springs,0,AU,1531530000,47,-12.5,131.05,80.6,2.24
160,minna,88,NG,1531530892,100,9.62,6.55,71.43,8.01
161,marrakesh,0,MA,1531526400,56,31.63,-7.99,71.6,5.82
162,te anau,20,NZ,1531530892,85,-45.41,167.72,44.34,3.42
163,kjollefjord,0,NO,1531530893,91,70.95,27.35,48.66,3.2
164,tasiilaq,56,GL,1531529400,75,65.61,-37.64,46.4,2.24
165,makaha,40,US,1531526220,61,21.47,-158.22,87.8,10.29
166,sao filipe,76,CV,1531530893,100,14.9,-24.5,74.49,16.51
167,ayia marina,0,GR,1531529400,57,37.75,23.53,77.0,5.82
168,petropavlovsk-kamchatskiy,75,RU,1531528200,82,53.05,158.65,60.8,11.18
169,saint-pierre,32,FR,1531530000,68,48.95,4.24,66.2,9.17
170,dondo,0,MZ,1531530894,84,-19.62,34.74,63.78,2.53
171,bandarbeyla,44,SO,1531530894,81,9.49,50.81,79.71,32.95
172,midland,24,US,1531529700,28,32.0,-102.08,95.0,12.75
173,paamiut,0,GL,1531530895,88,61.99,-49.67,42.63,22.77
174,cooma,0,AU,1531530895,75,-36.24,149.13,39.84,4.21
175,wagar,12,US,1531530895,80,31.44,-87.99,85.11,3.09
176,zelenoborskiy,8,RU,1531530895,82,66.84,32.36,52.26,3.87
177,berdigestyakh,44,RU,1531530896,55,62.1,126.7,66.39,6.44
178,chokurdakh,80,RU,1531530896,79,70.62,147.9,56.49,18.19
179,chuy,24,UY,1531530896,86,-33.69,-53.46,50.55,7.45
180,eyl,12,SO,1531530896,70,7.98,49.82,81.42,27.81
181,coquimbo,90,CL,1531526400,93,-29.95,-71.34,51.8,2.24
182,leningradskiy,48,RU,1531530897,63,69.38,178.42,47.13,5.55
183,erenhot,0,CN,1531530897,67,43.65,111.97,70.71,4.76
184,qujing,80,CN,1531530897,94,25.49,103.8,62.88,3.98
185,kurtamysh,68,RU,1531530898,90,54.91,64.43,65.31,9.8
186,xining,0,CN,1531530898,78,36.62,101.77,56.31,1.63
187,saint-francois,0,FR,1531530000,87,46.42,3.91,60.8,3.65
188,point pedro,32,LK,1531530898,92,9.82,80.23,83.31,24.79
189,micheweni,0,TZ,1531530898,99,-4.97,39.83,78.09,17.07
190,sinnamary,76,GF,1531530899,91,5.38,-52.96,82.32,12.48
191,zemio,20,CF,1531530899,95,5.02,25.13,67.47,2.53
192,hami,68,CN,1531530899,45,42.84,93.51,74.76,4.32
